,total_mismatches,distal_mismatches,proximal_mismatches,wt,hf1,enh,hypa
303,1,1,0,1.089239254875326,0.8631982965007873,0.8947202557024804,0.49539079041851963
304,1,1,0,1.0549345324003911,0.9813702430553614,1.0808078334249374,0.6960728674801852
305,1,1,0,1.038022110798937,0.6714053480475808,0.835617295716468,0.21240983544433692
351,2,2,0,1.1266010108615583,0.9936047519076558,0.9205310205635587,1.0357654398154812
352,2,2,0,1.075352923359685,0.08767004849397457,0.014590211884049386,0.6457007291840874
370,3,3,0,1.0531805442661748,0.12710966564691475,0.057460642476076046,0.5859632143062948
372,3,3,0,0.012440334505499095,0.03411368378342328,0.018532610022647056,0.0033182641798303898
582,1,1,0,1.0580736630058525,0.9299911520530403,0.9090791073586089,0.9771561701792062
583,1,1,0,0.9758581510084278,0.017888091087330922,0.010860605235420767,0.1444331149123122
584,1,1,0,1.0069351457403353,0.009868750567814315,0.033504713467437296,0.14105109757264853
585,1,1,0,1.0747559426034086,0.4806639003572942,0.5617350078339904,0.8714381079466501
586,1,1,0,0.9706921552638865,0.001945297196141441,-0.04296768734041931,0.059429736747587635
588,1,1,0,0.7152080378010042,0.02745923320214519,0.007093426809318706,0.004742003731365718
589,1,1,0,0.9007278410902484,0.01493034655223896,0.011207502613009212,0.011059358410322748
592,1,1,0,0.9101453069011985,0.015684901055261175,0.024146934905589043,0.050485089562111514
593,1,1,0,0.9903347650467337,0.015687902494167662,-0.006715252372984918,-0.029193825140687156
594,1,1,0,0.9429528994358909,0.015462746713423167,-0.009978159908994201,0.04273815105607514
595,1,1,0,1.0055195705963307,0.010260355615995002,-0.0031644111189216948,0.0060305650112221654
642,2,2,0,0.9132235156724695,0.03875071823677693,0.024194908267475113,0.20638791407539958
645,2,2,0,0.054745484797298266,0.025887605042016804,0.0,0.014728495315869514
661,3,3,0,0.032109445044003336,0.02850138380546195,0.008310164517664496,0.008909967751606494
679,1,1,0,1.170078629461669,1.2175152844744452,1.2973216416791593,1.5524124054350474
680,1,1,0,1.197257948302419,0.0930712406681329,0.0571418986158927,0.40433053039068473
681,1,1,0,1.1872155086003977,0.04794744131525983,0.06268635673891855,0.40738391299213544
682,1,1,0,1.1929078334503218,0.8948513105105653,1.0228916891728426,1.5406482711930034
684,1,1,0,1.2456444472083616,0.08169989916476299,0.3580739318199452,0.3490416109667479
685,1,1,0,1.1504531934605138,0.004956723051983305,0.043292737269490136,0.05032881585871066
686,1,1,0,0.9881325164338888,0.01567538970527048,0.01618983891000866,0.026206143949875742
689,1,1,0,1.072188322460216,0.043224462419842284,0.04803536968405737,-3.6005912106880704e-05
690,1,1,0,1.089078938167509,0.05885078464209242,0.030840017127840062,0.02812040574336765
691,1,1,0,1.041135362913444,0.1023856168444689,0.06344232974123731,0.03187892639749587
692,1,1,0,1.1195354848094963,0.04586019809104744,0.017552159454416044,0.002715666696385456
693,1,1,0,1.1062608213528895,0.028342202579350405,0.05751844525465266,0.012250807367139743
739,2,2,0,1.104945749984856,0.07022437851782362,0.07975400760136368,0.39631844651158304
970,1,1,0,0.8459445074358621,1.0082901424152741,0.9107104233023554,1.1399064001417887
971,1,1,0,0.8920886915295624,0.044365458965038636,0.07705907606077937,0.6361178410331509
972,1,1,0,0.8687231918439048,0.02719065069576944,0.06861524777288852,0.43916510595713265
973,1,1,0,0.8712804460855723,0.03410549503765441,0.5227461262731685,0.851406008535594
974,1,1,0,0.9153952867597815,0.02672363396205982,0.09398894930729033,0.4684251608568373
975,1,1,0,0.9946488974190922,0.06186706082864898,0.021494000745118754,0.8031296710441049
976,1,1,0,0.8697129086700823,0.13132118689094208,0.3832902058380818,0.2583978388735842
977,1,1,0,0.9140269241298888,0.012044005122825177,0.054957211818970154,0.05064376052559781
978,1,1,0,0.897691099045777,0.026909128562708502,0.03874960624334334,0.03290031877733802
979,1,1,0,0.7101977471479346,0.058156085473771886,0.14559111849260034,0.058776187649158956
981,1,1,0,0.8948435128893915,0.04588014794499425,0.11426922808296934,0.15944679395193428
982,1,1,0,0.9330951878880792,0.043872520552466966,0.5240525004740116,0.09477261881248858
983,1,1,0,0.8754087642290779,0.025132715346190198,0.012136720953580248,0.03492572586052405
1030,2,2,0,0.8581409916467478,0.008546458967605596,-0.0025778318527953457,0.5140554475036326
1033,2,2,0,0.663507051936204,0.019490852925464444,0.014586040131884392,0.0074814317370906725
1051,3,3,0,0.029766910831954926,0.007583693940276868,-0.027106268860537165,0.03576182533425616
1067,1,1,0,0.9569521317879931,1.0917938437512142,1.075605970696534,1.784813734366093
1068,1,1,0,1.0150624292131287,0.1638103799477921,0.27681527566028075,1.2826459644895296
1069,1,1,0,1.0002607534084562,0.12235401585665048,0.1619500570348577,1.0225790828567463
1070,1,1,0,0.9979668347661513,0.09471554620049523,0.9458306925936724,1.235665228383137
1071,1,1,0,1.0261815677261688,0.12952682044796093,0.28649337075034004,0.8962625227389917
1072,1,1,0,1.009681210219065,0.09693242949867187,0.17231278027943697,1.0397818566142485
1073,1,1,0,0.7877701905503363,0.26947810879982703,0.8122169934723924,0.6075433262143698
1074,1,1,0,0.9888541350341079,0.08286881512182857,0.10215239488580842,0.11026907799386923
1075,1,1,0,0.8071345408087031,0.08159614066655732,0.08711432000602373,0.10966772925779338
1076,1,1,0,0.8785497541661266,0.21797832519100724,0.28876009697046,0.12260507702719135
1077,1,1,0,1.0137854780807978,0.03274195943825984,0.04440592049563007,0.028081403089089102
1078,1,1,0,0.9320310753842663,0.09082434739324305,0.4159395310097591,0.3921814013780887
1079,1,1,0,1.0196221510563481,0.3114414518453695,0.8781903927458367,0.2414709206721774
1080,1,1,0,0.900011294202374,0.060930005731022294,0.08491041101552217,0.06444488596923231
1127,2,2,0,1.0012749796487865,0.09317442843904816,0.02642754872519912,1.0709380178396897
1128,2,2,0,0.6706738771580049,0.020821839364884194,-0.015297080367068441,-0.014836278797612408
1130,2,2,0,0.796862947906866,0.012553502496379184,0.02191019656223718,-0.002099828662131511
1148,3,3,0,0.008925816135651975,0.06402365557377815,0.033868581314590654,0.011275463783810523
1164,1,1,0,1.1419086917783752,0.9263155236483022,0.8843289016474974,1.059885869448579
1166,1,1,0,1.2355290723249925,0.07102737216755073,0.02671885334125187,0.5671188711222768
1167,1,1,0,0.9238355638058092,0.025343869361762125,0.08743081865474213,0.27830588977355514
1170,1,1,0,1.0597358843359947,0.04344171181316949,0.03491660903600421,0.055429310475689775
1172,1,1,0,0.7590790114438765,0.005921773567108695,0.019289891041614292,-0.013871285154489023
1173,1,1,0,1.2593426130342935,0.09023654959403728,0.09120163261656698,0.08620829263361705
1175,1,1,0,1.1098223118062107,0.04708872576799705,0.04887239613818904,0.23728023693680453
1227,2,2,0,0.6613251747490457,0.029610082957135613,0.04227005329205388,0.004840816995924799
1245,3,3,0,0.005164156121058971,0.01836806075875926,0.02550094407615276,-0.007188358298682574
1261,1,1,0,1.4084253182662314,1.043850374376856,1.07692801908992,1.0664540008773866
1263,1,1,0,1.3969989329367931,0.29388356433680374,0.14951762374801553,0.6864346227538198
1264,1,1,0,1.3200773430587989,0.0928286959276906,0.28071785833175233,0.6050667916335399
1265,1,1,0,1.1363267783960553,0.023558418289574667,-0.060905124528433066,0.47183698312328626
1266,1,1,0,1.3001743849124645,0.009790282651474585,-0.03742186875455837,0.3995033992779945
1267,1,1,0,1.3524913681875308,0.028076827291339916,0.02949676683074124,0.06004689270374724
1268,1,1,0,1.2323118726087756,0.11585628965578908,0.046299304202915954,0.04401906551178086
1270,1,1,0,1.2781097842348894,0.1476877715600793,0.25855629174979394,0.15276396658822014
1271,1,1,0,1.2006720152177168,0.02708870857378352,0.04336376629366736,-0.03345837625203382
1272,1,1,0,1.2909932955755763,0.180526837591276,0.1865336340947804,0.5443987533592457
1321,2,2,0,1.1796575327548764,0.002455271328278778,0.00539454601060348,0.62642288585017
1324,2,2,0,0.8440774992961851,0.02352599236420166,0.007765601291470329,0.059237714716027505
1341,3,3,0,0.030671475814771112,0.02371215092276038,-0.009246629186614522,0.012471881165452076
1358,1,1,0,0.9735739431810434,0.9565612865459606,0.82457452819178,0.9981229955689751
1359,1,1,0,0.8604456568204337,0.6289342306465758,0.34827475812604364,0.8426725479804763
1360,1,1,0,1.0258332738267006,0.2872275339579635,0.3533873216548848,0.8692673632083127
1361,1,1,0,1.1057170918398382,0.3556671364095127,0.5922822428419453,0.9269093475388259
1363,1,1,0,1.0177406717067343,0.029146703724606204,-0.004795765810986812,0.7721948026212299
1364,1,1,0,0.9392365199267421,0.23861066707233455,0.4608613401567714,0.25959671870012585
1365,1,1,0,1.093406761279675,0.10465389123863703,0.08295249832176099,0.21096485175519508
1366,1,1,0,1.114183595874343,0.011528559458828152,0.11201299166920252,0.042861411149037104
1368,1,1,0,0.9932061013962824,0.25789867092228336,0.6176487254236886,0.3289266592725513
1369,1,1,0,1.1077932357252611,0.047563239834640385,0.0015784772377963328,0.10022842397649308
1370,1,1,0,1.0147989334023653,0.0475399572121686,0.1807369846242574,0.07225203191324563
1371,1,1,0,0.9962240945670862,0.11772120574155508,0.23728466398496367,0.14988661144333934
1372,1,1,0,0.9177290180610885,0.020206165139376436,0.006153576900101185,0.03998564992374154
1419,2,2,0,0.9114731591795318,0.0014861906352235045,0.0012818586119832877,0.041659400109708464
1455,1,1,0,1.1231998562334533,1.2194979696463504,1.060262453213735,1.2218818410206151
1456,1,1,0,1.0831134266950466,1.0705144883166235,0.7123251400230431,1.1774827016149532
1457,1,1,0,1.1392402331499545,0.6505064577997769,0.8074010817925148,1.183936123494027
1458,1,1,0,1.1678222039709383,0.7677236705487318,0.9600638630715825,1.0131961357730717
1459,1,1,0,1.0596202737921019,0.1119331667545246,0.05743656528961999,1.1273692118836145
1460,1,1,0,1.1483094146909791,0.1633627063785372,0.06619524818417279,1.1430512726278041
1461,1,1,0,1.2504770273934858,0.7381025551065914,0.9582061638177333,0.42783456566239847
1462,1,1,0,1.1434648035848247,0.4708746068491168,0.374339773547129,0.5169460154267175
1463,1,1,0,1.1522085619794513,0.3064553780194825,0.1871003212571093,0.3034068377095475
1464,1,1,0,1.2921022439233196,0.06287048479018992,0.4109255692356652,0.10547248214785297
1465,1,1,0,1.1449242684799004,0.7071135575712197,0.809776679429252,0.6931073983894975
1466,1,1,0,1.227675846941275,0.05513285370983711,0.0612942898433348,0.1242422616254269
1467,1,1,0,1.1122946034351153,0.2682138937634304,0.42816875280189115,0.16891182807094746
1468,1,1,0,1.0704541809481347,0.37760655981455843,0.5065887052166294,0.15273487515451856
1469,1,1,0,1.1668122402700396,0.029246769822239116,0.04360581197069764,0.10303200252092029
1515,2,2,0,1.0720665476561635,0.08224568441756278,0.0523219230621973,0.9486136876846337
1516,2,2,0,0.9085794277744574,0.017776221957810576,0.0017038375232771492,0.1437683892440517
1534,3,3,0,1.044553035971766,0.04913974314783526,2.831247579600854e-05,0.3265066448745186
1552,1,1,0,1.030896617290594,1.2445812672567984,1.1417807487065164,1.1657208375075767
1553,1,1,0,0.9405437705386454,0.40704611593018386,0.5236281669163558,0.7284026555330746
1554,1,1,0,1.058678430775547,0.05447665818229117,0.2010508563126733,0.6213540904256017
1555,1,1,0,1.071578878299091,0.055615808853468285,0.8110168150625454,0.70567246865115
1556,1,1,0,1.033227093375348,0.09822041626403569,0.22365844372203444,0.5835292753471327
1557,1,1,0,1.0723084544782668,0.22424857023910832,0.19683923986203247,0.38367254061211903
1558,1,1,0,1.007029770041547,0.31948415163213933,0.738217841157395,0.24188489754848888
1559,1,1,0,0.9002748186820247,0.031096982628778153,0.07321387950906608,0.07245240526251445
1560,1,1,0,0.9030435926273129,0.5537330257411779,0.5868476534740762,0.1482247161743912
1561,1,1,0,0.9970398227111456,0.08880038577203374,0.46221382614057793,0.08603368787177773
1562,1,1,0,1.0852237683623167,0.9356995125344931,0.9879057602980715,0.5115539690590979
1563,1,1,0,0.8996934025802507,0.04825013504488283,0.12912903005895202,-0.0073283639497609306
1564,1,1,0,1.1110159262301664,0.9844158135950912,0.9234023431537839,0.6260462597456754
1565,1,1,0,1.0268051278263666,0.050245356770780285,0.04432541639311331,-0.045614741865801674
1566,1,1,0,0.9943344711092013,0.14043577662442247,0.4713921461312788,0.04188361665021516
1612,2,2,0,0.9665266079255563,0.015410703076296217,0.0038161422647223693,0.3920344691227469
1631,3,3,0,0.8326251612093742,0.02338257334998323,0.011000777808135038,0.05290839214911523
1632,3,3,0,0.08430660279700963,0.005876280894675208,-0.013478092054070624,-0.010155950444332582
1649,1,1,0,1.2406295956258453,1.4041265923846464,1.3526279930746836,1.4366622495329096
1650,1,1,0,1.1890319045493107,0.7992073213366117,0.9772683600159315,1.1854674646970185
1651,1,1,0,1.162843255469207,0.22152765126364646,0.5735009216680124,1.003127354088709
